ABSTRACT,సంక్షిప్తి
PANCHAYAT RAJ & RURAL DEVELOPMENT DEPARTMENT,పంచాయతీరాజ్ & గ్రామీణాభివృద్ధి శాఖ
PLANNING DEPARTMENT,ప్రణాళికా శాఖ
PUBLIC ENTERPRISE DEPARTMENT,ప్రభుత్వ రంగ సంస్థల శాఖ
RAIN SHADOW AREAS DEVELOPMENT DEPARTMENT,వర్షచ్ఛాయ ప్రాంతాల అభివృద్ధి శాఖ
REAL TIME GOVERNANCE DEPARTMENT,రియల్ టైం గవర్నెన్స్ శాఖ
REVENUE DEPARTMENT,రెవెన్యూ శాఖ
SCHOOL EDUCATION DEPARTMENT,పాఠశాల విద్యా శాఖ
"SKILL DEVELOPMENT, ENTREPRENEURSHIP & INNOVATION DEPARTMENT","నైపుణ్యాభివృద్ధి, వ్యవస్థాపకత & ఆవిష్కరణల శాఖ"
SKILLS DEVELOPMENT TRAINING DEPARTMENT,నైపుణ్యాభివృద్ధి శిక్షణ శాఖ
SOCIAL WELFARE DEPARTMENT,సాంఘిక సంక్షేమ శాఖ
"TRANSPORT, ROADS & BUILDINGS DEPARTMENT","రవాణా, రోడ్లు & భవనాల శాఖ"
TRIBAL WELFARE DEPARTMENT,గిరిజన సంక్షేమ శాఖ
WATER RESOURCES DEPARTMENT,జల వనరుల శాఖ
"WOMEN DEVELOPMENT, CHILD AND DISABLED WELFARE DEPARTMENT","మహిళాభ్యుదయం, శిశు మరియు దివ్యాంగుల సంక్షేమ శాఖ"
"WOMEN, CHILD AND DIFFERENTLY ABLED &SENIOR CITIZENS WELFARE DEPARTMENT","మహిళా, శిశు, విభిన్న ప్రతిభావంతులు & వయోవృద్ధుల సంక్షేమ శాఖ"
"YOUTH ADVANCEMENT, TOURISM AND CULTURE DEPARTMENT","యువజనాభ్యుదయ, పర్యాటక మరియు సాంస్కృతిక శాఖ"
GOVERNMENT OF ANDHRA PRADESH,ఆంధ్రప్రదేశ్ ప్రభుత్వం
"FROM THE DIRECTOR OF AGRICULTURE, AP, GUNTUR","వ్యవసాయ శాఖ సంచాలకులు, ఆంధ్రప్రదేశ్, గుంటూరు వారి నుండి"
LETTER NO.,లేఖ నెం.
SHALL TAKE FURTHER NECESSARY ACTION,తదుపరి అవసరమైన చర్య తీసుకోవాలి
ACCORDINGLY,తదనుగుణంగా
IN THE MATTER,ఈ విషయంలో
ESTABLISHMENT,సిబ్బంది
VOLUNTARY RETIREMENT,స్వచ్ఛంద పదవీ విరమణ
PUBLIC SERVICE,ప్రభుత్వ సర్వీసులు
PERMISSION,అనుమతి
ACCORDED,ఇవ్వడమయింది
DISTRICT,జిల్లా
RULE,నియమం
RULES,నియమావళి
REGULATION,నిబంధన
REGULATIONS,నిబంధనావళి
PROVISION,నిబంధన
PROVISO,మినహాయింపు నిబంధన
"ANDHRA PRADESH REVISED PENSION RULES, 1980","1980, ఆంధ్రప్రదేశ్ సవరించిన పింఛను నియమావళి"
GOVERNMENT,ప్రభుత్వం
ACCORD PERMISSION,అనుమతి ఇవ్వడం
FROM PUBLIC SERVICE,ప్రభుత్వ సర్వీసు నుండి
WITH EFFECT FROM,నుండి
ASSISTANT DIRECTOR OF AGRICULTURE,వ్యవసాయ శాఖ సహాయ సంచాలకులు
UNDER,క్రింద
WITHOUT PREJUDICE,ప్రతికూలత లేకుండా
DISCIPLINARY ACTION,క్రమశిక్షణా చర్య
EVEN AFTER RETIREMENT,పదవీ విరమణ అనంతరం కూడా
THE ACCOUNTANT GENERAL,అకౌంటెంట్ జనరల్
THE DIRECTOR OF TREASURIES & ACCOUNTS,ఖజానాలు మరియు ఖాతాల శాఖ సంచాలకులు
THE DEPUTY DIRECTOR,ఉప సంచాలకులు
THE P.S. TO HON'BLE MINISTER,గౌరవ వ్యవసాయ శాఖ మంత్రి గారి ఆంతరంగిక కార్యదర్శి
DEPUTATION,డిప్యుటేషన్
DEPUTY PROJECT DIRECTOR,డిప్యూటీ ప్రాజెక్ట్ డైరెక్టర్
ON DEPUTATION BASIS,డిప్యుటేషన్ ప్రాతిపదికన
INITIALLY,ప్రారంభంలో
FOR PERIOD OF ONE YEAR,ఒక సంవత్సర కాలంలో
UNDER FOREIGN SERVICE TERMS AND CONDITIONS,ఇతర సర్వీసు నిబంధనలు మరియు షరతుల క్రింద
FINANCE & PLANNING,ఆర్థిక & ప్రణాళిక
FULL ADDITIONAL CHARGE,పూర్తి అదనపు బాధ్యతలు
ADDITIONAL CHARGE ALLOWANCE,అదనపు బాధ్యతల భత్యం
EXISTING VACANCY,ప్రస్తుత ఖాళీ
PAO,పిఏఓ
DTO,డిటిఓ
OSD,ఓఎస్.డి
PROBATION,ప్రొబేషన్
DECLARATION OF PROBATION,ప్రొబేషన్ డిక్లరేషన్
COMMENCEMENT,ప్రారంభం
,
"A.P. STATE AND SUBORDINATE SERVICE RULES, 1996",
"1996, ఆంధ్రప్రదేశ్ రాష్ట్ర మరియు సబార్డినేట్ సర్వీసు నియమావళి",
DEPARTMENTAL TESTS,శాఖాపరమైన పరీక్షలు
DIRECT RECRUITMENT (DR),నేరు నియామకం (డిఆర్)
REGULARIZED,క్రమబద్ధీకరించడమయింది
REGULARIZATION,క్రమబద్ధీకరణ
CRIMINAL CASE,క్రిమినల్ కేసు
IPC,ఐపిసి
ACCUSED,నిందితుడు
SIMPLE IMPRISONMENT,సాధారణ జైలు శిక్ష
FINE,జరిమానా
OFFENSE PUNISHABLE,శిక్షించదగు నేరం
CONVICTED,దోషి
ACQUITTED,నిర్దోషి
HON'BLE HIGH COURT,గౌరవ హైకోర్టు
JUDGMENT,తీర్పు
PENDING TRIAL,విచారణ పెండింగులో ఉండగా
EXTEND THE PROBATION,ప్రొబేషన్ కాలం పొడిగింపు
SERVICE REGISTER,సర్వీసు రిజిస్టర్
GENERAL ADMINISTRATION (GL&C) DEPARTMENT,సాధారణ పరిపాలన (జిఎల్ &సి) శాఖ
PRINCIPAL SECRETARY TO GOVERNMENT(GPM&AR),ప్రభుత్వ ముఖ్య కార్యదర్శి (జిపిఎం&ఎఆర్)
PERSONAL ASSISTANT,వ్యక్తిగత సహాయకులు
ASSEMBLY CONSTITUENCY,శాసనసభ నియోజకవర్గం
ON DEPUTATION/OD BASIS,డిప్యుటేషన్/ఓ.డి. ప్రాతిపదికపై
COLLECTOR & DISTRICT MAGISTRATE,కలెక్టర్ & జిల్లా మేజిస్ట్రేట్
DIRECTOR OF TRANSLATIONS,అనువాద శాఖ సంచాలకులు
BUDGET RELEASE ORDER (BRO),బడ్జెట్ విడుదల ఉత్తర్వు (బిఆర్ఓ)
B.E.,బడ్జెట్ అంచనాలు
ADMINISTRATIVE SANCTION,పరిపాలక మంజూరు
"GUNTUR (DIST), A.P.","గుంటూరు (జిల్లా), ఆంధ్రప్రదేశ్"
FINANCE (FMU-GAD.I) DEPARTMENT,ఆర్థిక (ఎఫ్‌ఎంయు-జిఏడీ-1) శాఖ
GOVERNMENT,ప్రభుత్వం
F.Y.,ఆర్థిక సంవత్సరం
TREASURY CONTROL AND QUARTERLY REGULATION ORDERS,ఖజానా నియంత్రణ మరియు త్రైమాసిక నిబంధన ఉత్తర్వులు
SUPPLEMENTARY GRANTS,అనుబంధ నిధులు
HEAD OF ACCOUNT,ఖాతా పద్దు
PROVISION IN B.E.,బడ్జెట్ అంచనాలలో కేటాయింపు
ADDITIONAL AMOUNTS SANCTION,అదనపు నిధులు మంజూరు
AMOUNT REAPPROPRIATED,పునర్ వినియోగ మొత్తం
TOTAL PROVISION IN B.E.,బడ్జెట్ అంచనాలలో మొత్తం కేటాయింపు
AUTHORISED AMOUNT,అధీకృత మొత్తం
BALANCE AMOUNT AVAILABLE,అందుబాటులో ఉన్న మిగిలిన మొత్తం
SCHEME NAME:,పథకం పేరు :
PROCEDURE OF DRAWAL OF FUNDS: DETAILED VOUCHER BILL,నిధులు డ్రా చేసే విధానం : వివరణాత్మక ఓచర్ బిల్లు
DRAWING OFFICER: CONCERNED DDO,డ్రాయింగ్ అధికారి : సంబంధిత డిడిఓ
TOTAL,మొత్తం
CONCURRENCE OF FINANCE (FMU-GAD.I) DEPARTMENT,ఆర్థిక (ఎఫ్‌ఎంయు-జిఏడి.1) శాఖ సమ్మతితో
"THE PRINCIPAL ACCOUNTANT GENERAL, A.P., VIJAYAWADA","ప్రిన్సిపల్ అకౌంటెంట్ జనరల్, ఆంధ్రప్రదేశ్, విజయవాడ"
SF/SC,ని.ద / అ.ప్ర.
WORKING UNDER THE ADMINISTRATIVE CONTROL,పరిపాలనా నియంత్రణ క్రింద పనిచేస్తున్న
O/O.THE DISTRICT HORTICULTURE OFFICER,జిల్లా ఉద్యానవన శాఖ అధికారి వారి కార్యాలయం
ELURU DISTRICT,ఏలూరు జిల్లా
MLA,శాసనసభ్యులు
ASSEMBLY CONSTITUENCY,శాసనసభ నియోజకవర్గం
EAST GODAVARI DISTRICT,తూర్పు గోదావరి జిల్లా
ORDERS,ఉత్తర్వులు
ISSUED,జారీ చేయడమయింది
G.A.(SR) DEPT.,సా.ప.(ఎస్ఆర్) శాఖ
FROM,నుండి
REQUESTED TO PROVIDE THE SERVICES,సేవలను అందించమని అభ్యర్థించారు
IN RELAXATION OF RULES,నియమావళిని సడలిస్తూ
REFERENCE 4TH CITED,పైన పేర్కొన్న 4వ నిర్ధేశంలో
FOR APPOINTMENT,నియామకం కోసం
OFFICER,అధికారి
"RULE 20 OF A.P.CIVIL SERVICES (CLASSIFICATION, CONTROL AND APPEAL) RULES, 1991","1991, ఆంధ్రప్రదేశ్ సివిల్ సర్వీసులు (వర్గీకరణ, నియంత్రణ మరియు అప్పీలు) నియమావళిలోని 20వ నియమం"
MANAGING DIRECTOR,మేనేజింగ్ డైరెక్టర్
RE-CONSTITUTION OF TECHNICAL COMMITTEE,సాంకేతిక కమిటీ తిరిగి ఏర్పాటు
RE-CONSTITUTION OF THE BOARD OF DIRECTORS,పాలక మండలి  తిరిగి ఏర్పాటు
INFRASTRUCTURE & INVESTMENT (PORTS) DEPARTMENT,మౌలిక సదుపాయాలు మరియు పెట్టుబడుల (ఓడరేవులు) శాఖ
"THE OSD TO HON'BLE MINISTER FOR HUMAN RESOURCES DEVELOPMENT, IT ELECTRONICS & COMMUNICATIONS, RTG","గౌరవ మానవ వనరుల అభివృద్ధి & ఐటి,ఎలక్ట్రానిక్స్ & కమ్యూనికేషన్స్ ఆర్.టి.జి శాఖ మంత్రి గారి ఓ.ఎస్.డి."
THE SCHOOL EDUCATION DEPARTMENT (OP-CLAIMS) DEPARTMENT.,పాఠశాల విద్య ( ఓపి క్లెయింలు) శాఖ
FINANCE (PMU – NABARD &SP) DEPARTMENT,ఆర్థిక (పిఎంయు – నాబార్డ్ & ఎస్ పి) శాఖ
NABARD,నాబార్డ్
RURAL INFRASTRUCTURE DEVELOPMENT FUND (RIDF),గ్రామీణ మౌలిక సదుపాయాల అభివృద్ధి నిధి (ఆర్ఎఐడిఎఫ్)
LONG TERM IRRIGATION FUND (LTIF),దీర్ఘకాలిక సాగునీటి నిధి (ఎల్.టి.ఐ.ఎఫ్.)
LONG TERM LOAN (LTL),దీర్ఘకాలిక రుణం (ఎల్.టి.ఎల్)
MICRO IRRIGATION FUND (MIF),సూక్ష్మ సాగునీటి నిధి (ఎంఐఎఫ్)
HOA,ఖాతాపద్దు
GRAND TOTAL,వెరశి మొత్తం
"THE ASSISTANT SECRETARY TO GOVERNMENT, FINANCE (CLAIMS) DEPARTMENT","ఆర్థిక (క్లెయింలు) శాఖ, ప్రభుత్వ సహాయ కార్యదర్శి"
SECRETARY TO GOVERNMENT (B&IF),ప్రభుత్వ కార్యదర్శి (బి&ఐఎఫ్)
SECRETARY TO GOVERNMENT / EX-OFFICIO SECRETARY TO GOVERNMENT,ప్రభుత్వ కార్యదర్శి / పదవిరీత్యా ప్రభుత్వ కార్యదర్శి
,
CONSUMER AFFAIRS FOOD AND CIVIL SUPPLIES (CS.II) DEPARTMENT,"వినియోగదారుల వ్యవహారాలు, ఆహార & పౌర సరఫరాల (సి.ఎస్.2) శాఖ"
ASSISTANT REGISTRAR,సహాయ రిజిస్ట్రార్
"HON'BLE PRESIDENT, ANDHRA PRADESH CONSUMER DISPUTES REDRESSAL COMMISSION, VIJAYAWADA","గౌరవ అధ్యక్షులు, ఆంధ్రప్రదేశ్ వినియోగదారుల వివాదాల పరిష్కార కమిషన్, విజయవాడ"
"REGISTRAR (FAC), A.P. STATE CONSUMER DISPUTES REDRESSAL COMMISSION, VIJAYAWADA","రిజిస్ట్రార్ (ఎఫ్ఎసి), ఆంధ్రప్రదేశ్ రాష్ట్ర వినియోగదారుల వివాదాల పరిష్కార కమిషన్, విజయవాడ"
DEPARTMENTAL PROMOTION COMMITTEE,శాఖీయ పదోన్నతి కమిటీ
RECONSTITUTION OF DEPARTMENTAL PROMOTION COMMITTEE FOR THE FIRST AND SECOND LEVEL GAZETTED POSTS,మొదటి మరియు రెండవ స్థాయి గెజిటెడ్ పోస్టులకు శాఖీయ పదోన్నతి కమిటీ తిరిగి ఏర్పాటు
DRAFT,ముసాయిదా
ANNEXURE,అనుబంధం
W.E.,జతపరచిన వాటితో
CHARGED OFFICER,నిందిత అధికారి
CHARGES FRAMED,నమోదు చేయబడిన ఆరోపణలు
ARTICLES OF CHARGES,ఆరోపణ అంశాలు
ENQUIRY OFFICER,విచారణాధికారి
ALLEGATIONS,ఆరోపణలు
VIGILENCE,నిఘా
DISCIPLINARY PROCEEDINGS,క్రమశిక్షణా కార్యవ్యవహారాలు
DISCIPLINARY AUTHORITY,క్రమశిక్షణా యంత్రాంగం
PUBLIC AUTHORITY,అధికార యంత్రాంగం
APPROVAL,ఆమోదం
APPROVED,ఆమోదించడమయింది
SECTION,విభాగం
SUB-SECTION,ఉప-విభాగం
CLAUSE,ఖండం
SUB-CLAUSE,ఉప-ఖండం
SUBSTITUED,బదులుగా ఉంచడమయింది
AMENDMENT,సవరణ
NOTIFICATION,ప్రకటన
ACKNOWLEDGEMENT,తిరుగు రశీదు
ARTICLE,పరిచ్ఛేదం
EXPENDITURE,వ్యయం
EXPENCES,ఖర్చులు
SUBMITTED,సమర్పించడమయింది
